X590
Integration time [ms]: 40000.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 0604028U1
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 
 567.73;31320.000;    0.000;    0.000
 567.89;16284.000;    0.000;    0.000
 568.05;12236.000;    0.000;    0.000
 568.21;19424.000;    0.000;    0.000
 568.37; 9484.000;    0.000;    0.000
 568.54;12240.000;    0.000;    0.000
 568.70;14172.000;    0.000;    0.000
 568.86;16468.000;    0.000;    0.000
 569.02;12960.000;    0.000;    0.000
 569.18;16508.000;    0.000;    0.000
 569.34;10388.000;    0.000;    0.000
 569.51;14988.000;    0.000;    0.000
 569.67;20436.000;    0.000;    0.000
 569.83;13756.000;    0.000;    0.000
 569.99;17696.000;    0.000;    0.000
 570.15;15556.000;    0.000;    0.000
 570.31;13024.000;    0.000;    0.000
 570.48; 9952.000;    0.000;    0.000
 570.64;15604.000;    0.000;    0.000
 570.80;11388.000;    0.000;    0.000
 570.96;12388.000;    0.000;    0.000
 571.12;17336.000;    0.000;    0.000
 571.28;25404.000;    0.000;    0.000
 571.45; 8856.000;    0.000;    0.000
 571.61;15488.000;    0.000;    0.000
 571.77;14772.000;    0.000;    0.000
 571.93;22888.000;    0.000;    0.000
 572.09;11092.000;    0.000;    0.000
 572.25; 9896.000;    0.000;    0.000
 572.42;18580.000;    0.000;    0.000
 572.58;10280.000;    0.000;    0.000
 572.74;10124.000;    0.000;    0.000
 572.90;19228.000;    0.000;    0.000
 573.06;11784.000;    0.000;    0.000
 573.22;13080.000;    0.000;    0.000
 573.39;16340.000;    0.000;    0.000
 573.55;12012.000;    0.000;    0.000
 573.71;14788.000;    0.000;    0.000
 573.87;18580.000;    0.000;    0.000
 574.03; 9988.000;    0.000;    0.000
 574.19;13024.000;    0.000;    0.000
 574.35;11612.000;    0.000;    0.000
 574.52;11040.000;    0.000;    0.000
 574.68;18392.000;    0.000;    0.000
 574.84;18568.000;    0.000;    0.000
 575.00;13556.000;    0.000;    0.000
 575.16;13240.000;    0.000;    0.000
 575.32; 8416.000;    0.000;    0.000
 575.48;10648.000;    0.000;    0.000
 575.65;12940.000;    0.000;    0.000
 575.81;13928.000;    0.000;    0.000
 575.97;10480.000;    0.000;    0.000
 576.13;23412.000;    0.000;    0.000
 576.29;11096.000;    0.000;    0.000
 576.45;28224.000;    0.000;    0.000
 576.61;12120.000;    0.000;    0.000
 576.78;17896.000;    0.000;    0.000
 576.94;15976.000;    0.000;    0.000
 577.10;13700.000;    0.000;    0.000
 577.26;16096.000;    0.000;    0.000
 577.42;20860.000;    0.000;    0.000
 577.58;13456.000;    0.000;    0.000
 577.74;14584.000;    0.000;    0.000
 577.90;13204.000;    0.000;    0.000
 578.07;15836.000;    0.000;    0.000
 578.23;16888.000;    0.000;    0.000
 578.39;12696.000;    0.000;    0.000
 578.55;13040.000;    0.000;    0.000
 578.71;15328.000;    0.000;    0.000
 578.87;15772.000;    0.000;    0.000
 579.03;13832.000;    0.000;    0.000
 579.20;12144.000;    0.000;    0.000
 579.36;17128.000;    0.000;    0.000
