J_Peri,,Sample 2,,Sample 3,,Sample 4_EX_290.00,,Sample 4_EX_295.00,,Sample 4_EX_305.00,,Sample 4_EX_315.00,,Sample 4_EX_325.00,,Sample 4_EX_335.00,,Sample 4_EX_345.00,,Sample 4_EX_355.00,,Sample 4_EX_365.00,,Sample 4_EX_375.00,,Sample 4_EX_385.00,,Sample 4_EX_395.00,,Sample 4_EX_405.00,,Sample 4_EX_415.00,,Sample 4_EX_425.00,,Sample 4_EX_435.00,,Sample 4_EX_445.00,,Sample 4_EX_455.00,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.)
504.019989,9.269254684,504.019989,453.6334839,504.019989,515.0465088,504.019989,277.5755615,504.019989,311.6878967,504.019989,342.6369019,504.019989,351.9909668,504.019989,392.957489,504.019989,482.9551697,504.019989,460.5726624,504.019989,467.9400024,504.019989,487.7892456,504.019989,543.7908325,504.019989,509.0299377,504.019989,457.149353,504.019989,396.8236084,504.019989,395.8524475,504.019989,407.8834534,504.019989,432.7351074,504.019989,448.0228577,504.019989,458.5571594
505.0700073,9.361216545,505.0700073,462.5492249,505.0700073,518.9579468,505.0700073,273.6238098,505.0700073,302.3845215,505.0700073,344.6293945,505.0700073,337.9637756,505.0700073,385.7988281,505.0700073,460.5338745,505.0700073,463.1608582,505.0700073,473.5310059,505.0700073,492.1293945,505.0700073,553.5841675,505.0700073,510.2391357,505.0700073,463.2086182,505.0700073,385.5515442,505.0700073,398.0183411,505.0700073,417.0969238,505.0700073,438.8598938,505.0700073,454.8700867,505.0700073,459.3440552
505.9700012,9.668755531,505.9700012,462.4916687,505.9700012,522.2009277,505.9700012,270.2072144,505.9700012,291.879364,505.9700012,341.6313171,505.9700012,324.799469,505.9700012,374.110321,505.9700012,432.1917725,505.9700012,484.3804932,505.9700012,472.3244324,505.9700012,494.446228,505.9700012,556.8927612,505.9700012,508.0574646,505.9700012,456.4208679,505.9700012,401.9090881,505.9700012,402.9584045,505.9700012,409.1048279,505.9700012,439.4179077,505.9700012,460.9000244,505.9700012,465.9570007
507.0100098,9.804528236,507.0100098,470.3465576,507.0100098,521.1334229,507.0100098,268.3725281,507.0100098,294.1016846,507.0100098,332.221283,507.0100098,333.881134,507.0100098,377.0898132,507.0100098,424.4288025,507.0100098,455.3386536,507.0100098,462.052063,507.0100098,480.8295898,507.0100098,557.7173462,507.0100098,512.6849365,507.0100098,447.8837585,507.0100098,395.1369019,507.0100098,402.348877,507.0100098,415.3769531,507.0100098,444.0351257,507.0100098,467.2444458,507.0100098,476.4753113
508.0499878,9.644816399,508.0499878,472.4230957,508.0499878,521.3972168,508.0499878,260.2879333,508.0499878,284.5697021,508.0499878,328.267334,508.0499878,336.390686,508.0499878,380.1878662,508.0499878,422.9558411,508.0499878,466.6307983,508.0499878,458.1555176,508.0499878,491.2766418,508.0499878,548.0899658,508.0499878,514.7600098,508.0499878,458.8396301,508.0499878,399.7052612,508.0499878,399.4969482,508.0499878,417.9273682,508.0499878,448.5074768,508.0499878,480.3277893,508.0499878,482.3666382
508.9500122,9.623567581,508.9500122,477.6702881,508.9500122,520.4355469,508.9500122,261.5730286,508.9500122,284.1104431,508.9500122,311.4582825,508.9500122,324.1041565,508.9500122,363.4108276,508.9500122,410.6489868,508.9500122,470.5614014,508.9500122,465.5057373,508.9500122,483.6994019,508.9500122,546.6572876,508.9500122,508.3221741,508.9500122,451.1444397,508.9500122,395.398407,508.9500122,402.7229919,508.9500122,424.475647,508.9500122,451.2364502,508.9500122,477.7437439,508.9500122,484.4572144
510,9.977787018,510,477.333252,510,523.753418,510,260.086731,510,278.0923462,510,318.651886,510,320.7001038,510,349.7203369,510,419.7432251,510,463.1390076,510,464.4562988,510,469.1272888,510,559.4263916,510,511.2319031,510,448.7285767,510,398.7746887,510,397.6483765,510,415.7478333,510,450.247345,510,481.2377625,510,487.1355896
511.0400085,9.960251808,511.0400085,482.0906372,511.0400085,524.0454712,511.0400085,250.4866943,511.0400085,280.7704773,511.0400085,308.9248962,511.0400085,313.6564026,511.0400085,353.1784973,511.0400085,399.194519,511.0400085,445.8108215,511.0400085,459.2654724,511.0400085,465.6924744,511.0400085,552.3562622,511.0400085,511.1219177,511.0400085,447.0403137,511.0400085,392.2332764,511.0400085,400.6167603,511.0400085,423.3881836,511.0400085,451.2155762,511.0400085,485.0806274,511.0400085,485.5219421
511.9400024,9.731347084,511.9400024,481.7745667,511.9400024,525.4777222,511.9400024,248.094162,511.9400024,274.7516785,511.9400024,305.172821,511.9400024,308.4623718,511.9400024,334.8244934,511.9400024,392.5153503,511.9400024,435.8311768,511.9400024,453.3874207,511.9400024,467.5323181,511.9400024,557.7480469,511.9400024,512.9710083,511.9400024,433.3269348,511.9400024,386.2194214,511.9400024,397.5991821,511.9400024,419.2084656,511.9400024,453.9368896,511.9400024,482.9133301,511.9400024,486.2983398
512.9799805,9.744353294,512.9799805,482.6404724,512.9799805,519.0637207,512.9799805,248.0249176,512.9799805,269.0411377,512.9799805,291.4104309,512.9799805,319.6749878,512.9799805,325.0939331,512.9799805,397.9935913,512.9799805,411.0934448,512.9799805,456.5157166,512.9799805,463.2488098,512.9799805,545.1834106,512.9799805,519.8880005,512.9799805,436.4578857,512.9799805,378.0264282,512.9799805,396.1286316,512.9799805,414.8137512,512.9799805,444.7115479,512.9799805,483.8936768,512.9799805,488.8698425
514.0200195,10.03235912,514.0200195,482.5548096,514.0200195,514.9014893,514.0200195,245.5169067,514.0200195,276.8475342,514.0200195,298.8985291,514.0200195,304.5533752,514.0200195,340.2550049,514.0200195,383.5261841,514.0200195,407.6960754,514.0200195,451.4657898,514.0200195,466.3586121,514.0200195,546.6046143,514.0200195,518.0457764,514.0200195,435.3356934,514.0200195,384.8480225,514.0200195,392.544281,514.0200195,419.8319702,514.0200195,454.2953186,514.0200195,486.7362366,514.0200195,491.2456665
515.0700073,9.860732079,515.0700073,485.2823486,515.0700073,514.5391235,515.0700073,240.9281158,515.0700073,273.7565613,515.0700073,298.9219666,515.0700073,299.1672363,515.0700073,341.557312,515.0700073,400.2594604,515.0700073,404.592926,515.0700073,436.1818848,515.0700073,452.1481628,515.0700073,537.7523804,515.0700073,517.3823853,515.0700073,440.1942749,515.0700073,384.1964722,515.0700073,390.0899353,515.0700073,421.8356018,515.0700073,451.5810547,515.0700073,482.8942566,515.0700073,481.9529419
515.9699707,9.880723,515.9699707,482.0506592,515.9699707,512.217041,515.9699707,248.1675262,515.9699707,268.4212036,515.9699707,291.0618591,515.9699707,296.526123,515.9699707,319.545105,515.9699707,383.4278259,515.9699707,400.4064026,515.9699707,439.211731,515.9699707,449.7922058,515.9699707,532.8357544,515.9699707,507.2075806,515.9699707,435.7579956,515.9699707,383.8114929,515.9699707,393.9294128,515.9699707,417.5439453,515.9699707,450.9847412,515.9699707,481.7768555,515.9699707,491.8597412
517.0100098,9.678382874,517.0100098,482.520813,517.0100098,512.0377808,517.0100098,242.7263794,517.0100098,264.4256287,517.0100098,292.8849792,517.0100098,297.4581909,517.0100098,312.934967,517.0100098,380.6121826,517.0100098,396.3667297,517.0100098,440.3918457,517.0100098,452.3285828,517.0100098,521.1463623,517.0100098,505.6474915,517.0100098,429.7008362,517.0100098,371.2883911,517.0100098,392.0696411,517.0100098,413.2001648,517.0100098,446.0008545,517.0100098,479.928009,517.0100098,484.5542603
518.0499878,9.936070442,518.0499878,482.7260742,518.0499878,510.509552,518.0499878,241.5817261,518.0499878,262.4032288,518.0499878,283.7095642,518.0499878,284.8362427,518.0499878,328.577179,518.0499878,375.9642944,518.0499878,373.6509094,518.0499878,426.5324402,518.0499878,449.8482971,518.0499878,515.7955933,518.0499878,502.9401855,518.0499878,431.0757446,518.0499878,368.8182983,518.0499878,384.3894958,518.0499878,408.9595642,518.0499878,440.3520813,518.0499878,479.7805786,518.0499878,479.723938
518.9500122,9.888353348,518.9500122,476.5714417,518.9500122,502.4891357,518.9500122,233.3555298,518.9500122,256.5959778,518.9500122,279.2457581,518.9500122,286.9615479,518.9500122,321.5235596,518.9500122,369.1550293,518.9500122,389.5011292,518.9500122,413.4706726,518.9500122,429.5240173,518.9500122,498.8948059,518.9500122,488.0388184,518.9500122,423.1386719,518.9500122,365.8320923,518.9500122,377.7429504,518.9500122,408.4663391,518.9500122,439.2520752,518.9500122,473.5128479,518.9500122,478.3077393
520,9.594937325,520,478.2905579,520,499.9611511,520,241.0049896,520,257.4853516,520,279.2867432,520,284.0552063,520,313.8952332,520,372.04776,520,377.385376,520,409.046814,520,430.9346313,520,488.944397,520,484.459259,520,415.7142639,520,363.9062805,520,371.3408508,520,405.4700317,520,439.2840271,520,477.5768433,520,480.5485229
521.0599976,9.659623146,521.0599976,475.2170105,521.0599976,494.2372131,521.0599976,235.3494415,521.0599976,252.9469452,521.0599976,270.7449951,521.0599976,282.4700623,521.0599976,317.9036865,521.0599976,359.6360168,521.0599976,378.9025269,521.0599976,398.1358032,521.0599976,425.4110413,521.0599976,478.9281311,521.0599976,469.5300598,521.0599976,415.2215271,521.0599976,361.1289368,521.0599976,366.952179,521.0599976,400.4655457,521.0599976,429.3390808,521.0599976,472.460022,521.0599976,482.3385925
521.960022,9.669043541,521.960022,468.6245728,521.960022,487.4890137,521.960022,230.7194366,521.960022,253.7149811,521.960022,275.8656311,521.960022,274.6263123,521.960022,319.2879639,521.960022,356.1169739,521.960022,362.6242676,521.960022,399.3048706,521.960022,418.3641052,521.960022,474.8693237,521.960022,479.95578,521.960022,415.1585693,521.960022,356.6956482,521.960022,358.7756042,521.960022,399.8855286,521.960022,429.7841797,521.960022,466.2399902,521.960022,472.6092529
523.0300293,9.207439423,523.0300293,470.6799011,523.0300293,484.0585938,523.0300293,226.8382874,523.0300293,249.5311127,523.0300293,272.7155151,523.0300293,274.3490601,523.0300293,299.4101868,523.0300293,353.3474426,523.0300293,363.9278564,523.0300293,405.293335,523.0300293,411.3042297,523.0300293,463.9841919,523.0300293,488.7749023,523.0300293,415.3280334,523.0300293,349.0055237,523.0300293,370.7938232,523.0300293,394.3089294,523.0300293,426.6218872,523.0300293,468.6905518,523.0300293,472.5092468
523.9299927,9.641201019,523.9299927,467.7980652,523.9299927,479.289856,523.9299927,224.1107483,523.9299927,246.1547241,523.9299927,258.3319702,523.9299927,275.0965576,523.9299927,310.0633545,523.9299927,337.8544312,523.9299927,355.0455933,523.9299927,395.0149231,523.9299927,419.6477661,523.9299927,454.614624,523.9299927,477.651123,523.9299927,403.8238831,523.9299927,350.7154236,523.9299927,362.1768799,523.9299927,386.7111511,523.9299927,421.4285583,523.9299927,463.1543274,523.9299927,468.2046204
525,9.418135643,525,466.2153015,525,463.9251099,525,227.5102386,525,250.3112793,525,265.2373352,525,271.182251,525,298.2540894,525,331.7870178,525,357.2840271,525,390.454071,525,403.847168,525,462.0839539,525,480.9644165,525,398.7400208,525,344.1846008,525,362.3563232,525,384.1608276,525,424.3312988,525,458.1547241,525,457.8046875
526.0599976,9.250670433,526.0599976,461.6312256,526.0599976,456.1409607,526.0599976,217.2059479,526.0599976,228.5927277,526.0599976,250.1904144,526.0599976,277.7910156,526.0599976,294.1725769,526.0599976,336.2161255,526.0599976,349.1110535,526.0599976,378.4346008,526.0599976,406.9169617,526.0599976,454.0105286,526.0599976,476.0976868,526.0599976,397.3451233,526.0599976,336.8109741,526.0599976,359.2673645,526.0599976,379.961853,526.0599976,414.7290649,526.0599976,449.5349426,526.0599976,463.2993774
526.960022,9.205101967,526.960022,458.3237305,526.960022,450.3842163,526.960022,212.6873016,526.960022,241.8932495,526.960022,246.6487122,526.960022,265.7765503,526.960022,291.1755371,526.960022,334.1198425,526.960022,341.7797241,526.960022,379.8378906,526.960022,395.0250854,526.960022,458.5321045,526.960022,481.4958191,526.960022,383.9964905,526.960022,333.6323242,526.960022,350.1705933,526.960022,375.1101685,526.960022,413.9673462,526.960022,463.8688965,526.960022,461.3638611
528.0300293,9.209489822,528.0300293,452.1858826,528.0300293,439.8281555,528.0300293,216.9510498,528.0300293,237.142807,528.0300293,247.9503632,528.0300293,262.7310791,528.0300293,293.3479309,528.0300293,315.0067444,528.0300293,345.5474243,528.0300293,361.8880005,528.0300293,391.7927856,528.0300293,446.8546753,528.0300293,471.2534485,528.0300293,386.0429382,528.0300293,338.6719971,528.0300293,349.4165344,528.0300293,374.6987915,528.0300293,405.0107422,528.0300293,452.436554,528.0300293,451.1432495
528.9299927,9.340000153,528.9299927,455.4091187,528.9299927,435.972168,528.9299927,211.9249725,528.9299927,232.6097565,528.9299927,244.5319061,528.9299927,253.7153931,528.9299927,280.6893005,528.9299927,318.5238037,528.9299927,340.9053345,528.9299927,373.0939636,528.9299927,386.9647217,528.9299927,441.3061218,528.9299927,458.614624,528.9299927,377.4493713,528.9299927,339.6285095,528.9299927,340.1635437,528.9299927,368.3050232,528.9299927,402.3591309,528.9299927,450.0593872,528.9299927,459.1195984
530,9.113578796,530,446.3667603,530,432.4056702,530,202.3239441,530,231.4508667,530,239.9908752,530,249.7077637,530,284.0078735,530,300.0044861,530,327.9413757,530,356.6336975,530,381.224823,530,422.0917969,530,449.5059509,530,380.8674316,530,337.0426331,530,339.8565674,530,366.7575378,530,396.3962402,530,441.0774536,530,444.8025513
531.039978,9.013764381,531.039978,441.1053772,531.039978,419.4362488,531.039978,202.6389008,531.039978,229.095108,531.039978,241.5167084,531.039978,246.651123,531.039978,281.9057617,531.039978,296.5755615,531.039978,319.3781738,531.039978,353.2523193,531.039978,377.4507446,531.039978,427.6982117,531.039978,447.6246643,531.039978,369.6201477,531.039978,331.4521484,531.039978,334.5682373,531.039978,362.4398193,531.039978,394.6889038,531.039978,441.726532,531.039978,440.0106201
531.9400024,8.835165024,531.9400024,439.1838684,531.9400024,415.0580444,531.9400024,206.1172943,531.9400024,224.96315,531.9400024,240.1466217,531.9400024,242.9914551,531.9400024,272.9596863,531.9400024,297.7842407,531.9400024,321.0717773,531.9400024,342.6954346,531.9400024,369.3902588,531.9400024,420.3652954,531.9400024,439.7878113,531.9400024,366.9387512,531.9400024,323.2840576,531.9400024,331.5675964,531.9400024,358.6805725,531.9400024,386.1339111,531.9400024,429.6328735,531.9400024,446.0516052
532.9799805,8.569684029,532.9799805,431.9620361,532.9799805,409.5640869,532.9799805,201.6477966,532.9799805,221.1623688,532.9799805,246.0411682,532.9799805,249.8023987,532.9799805,266.7705688,532.9799805,282.4988708,532.9799805,314.7203674,532.9799805,337.1740417,532.9799805,361.4525146,532.9799805,410.8021851,532.9799805,438.1084595,532.9799805,368.5859375,532.9799805,317.3249512,532.9799805,331.4038391,532.9799805,354.8567505,532.9799805,381.4447632,532.9799805,423.6217041,532.9799805,435.0750122
534.0200195,8.512435913,534.0200195,428.197937,534.0200195,401.6696167,534.0200195,201.0396423,534.0200195,217.3638458,534.0200195,234.298233,534.0200195,238.4115906,534.0200195,268.0862427,534.0200195,282.2764893,534.0200195,309.0575562,534.0200195,337.4489136,534.0200195,366.651123,534.0200195,401.5474548,534.0200195,422.6883545,534.0200195,362.1279297,534.0200195,316.9441528,534.0200195,318.5083618,534.0200195,348.918335,534.0200195,378.8292542,534.0200195,412.8523254,534.0200195,431.2457886
535.0700073,8.605539322,535.0700073,421.3439331,535.0700073,395.244873,535.0700073,195.7972412,535.0700073,220.4124298,535.0700073,224.8067627,535.0700073,238.7024231,535.0700073,260.6416931,535.0700073,278.7826538,535.0700073,312.5514221,535.0700073,316.6973572,535.0700073,365.1162109,535.0700073,389.9751282,535.0700073,403.8033752,535.0700073,345.6406555,535.0700073,317.2249146,535.0700073,323.1713562,535.0700073,344.0328979,535.0700073,371.3560791,535.0700073,413.2899475,535.0700073,424.7775269
535.9699707,8.422621727,535.9699707,416.7296753,535.9699707,390.0611877,535.9699707,188.8909607,535.9699707,212.1286469,535.9699707,235.2356567,535.9699707,225.6525116,535.9699707,254.598175,535.9699707,264.756073,535.9699707,299.7505493,535.9699707,326.2590942,535.9699707,347.6863098,535.9699707,397.4034424,535.9699707,389.9474792,535.9699707,355.4052429,535.9699707,313.3526611,535.9699707,308.3244324,535.9699707,341.3180237,535.9699707,366.1350708,535.9699707,412.5515137,535.9699707,422.1016541
537.0100098,8.228933334,537.0100098,408.6047974,537.0100098,380.3813477,537.0100098,184.8850098,537.0100098,206.0767822,537.0100098,224.5327606,537.0100098,232.2125244,537.0100098,243.7242584,537.0100098,261.4160156,537.0100098,293.862915,537.0100098,325.4300537,537.0100098,347.8288879,537.0100098,382.3715515,537.0100098,393.18927,537.0100098,343.9143677,537.0100098,296.9997864,537.0100098,307.5015869,537.0100098,333.2666016,537.0100098,364.747406,537.0100098,402.3362122,537.0100098,411.8835754
538.0499878,8.17807579,538.0499878,407.476593,538.0499878,373.6044922,538.0499878,192.5645752,538.0499878,208.5850067,538.0499878,234.8957672,538.0499878,232.0105133,538.0499878,244.8587036,538.0499878,261.7665405,538.0499878,295.9905396,538.0499878,319.5727844,538.0499878,332.7305603,538.0499878,381.3859253,538.0499878,382.0822754,538.0499878,349.5339661,538.0499878,302.0849915,538.0499878,311.6010132,538.0499878,332.9330139,538.0499878,361.9571838,538.0499878,402.4342346,538.0499878,403.7151184
538.9500122,7.736068249,538.9500122,400.0310669,538.9500122,373.9363403,538.9500122,184.2359161,538.9500122,205.3770752,538.9500122,224.9629669,538.9500122,235.6247406,538.9500122,246.1758575,538.9500122,264.174408,538.9500122,292.8963623,538.9500122,309.3313599,538.9500122,329.3106079,538.9500122,369.8546753,538.9500122,380.788147,538.9500122,339.1951904,538.9500122,286.299469,538.9500122,297.7455444,538.9500122,326.1104126,538.9500122,358.1555176,538.9500122,394.2286072,538.9500122,400.8989258
540,7.849262238,540,392.440979,540,365.6695557,540,185.8526611,540,199.6549835,540,227.2775574,540,234.6876984,540,237.0578003,540,243.8410645,540,276.1619568,540,319.2512512,540,328.3902893,540,374.257843,540,367.0538635,540,342.8088379,540,280.95401,540,297.1358643,540,316.4920654,540,346.8325806,540,392.9920044,540,401.6492615
541.039978,7.719753265,541.039978,385.1003418,541.039978,356.1124573,541.039978,182.7831573,541.039978,204.2203369,541.039978,220.7397766,541.039978,223.7612305,541.039978,236.7159424,541.039978,247.7988434,541.039978,268.4900513,541.039978,302.7668457,541.039978,308.6918335,541.039978,357.3768005,541.039978,372.0614014,541.039978,324.2045898,541.039978,276.539032,541.039978,297.121521,541.039978,313.453125,541.039978,345.9207153,541.039978,380.4855042,541.039978,398.6106567
541.9400024,7.678276062,541.9400024,381.4802551,541.9400024,350.1106873,541.9400024,176.2982483,541.9400024,202.3540955,541.9400024,215.9706879,541.9400024,218.7290802,541.9400024,242.6372833,541.9400024,245.4003754,541.9400024,276.0470886,541.9400024,292.4922485,541.9400024,326.2835999,541.9400024,353.3911133,541.9400024,355.5956726,541.9400024,330.3597717,541.9400024,278.0327759,541.9400024,283.228241,541.9400024,305.7976379,541.9400024,337.8490601,541.9400024,375.0094604,541.9400024,385.8579712
542.9799805,7.775894642,542.9799805,377.5838013,542.9799805,343.8442688,542.9799805,179.6100006,542.9799805,203.8285065,542.9799805,209.8721924,542.9799805,223.0569,542.9799805,224.3380432,542.9799805,247.4915619,542.9799805,267.9910583,542.9799805,290.6358337,542.9799805,304.2090454,542.9799805,353.7947693,542.9799805,353.488678,542.9799805,326.9108887,542.9799805,266.0292664,542.9799805,281.6542053,542.9799805,305.1653137,542.9799805,333.7534485,542.9799805,377.3308411,542.9799805,380.346405
544.0200195,7.457630634,544.0200195,369.1608887,544.0200195,341.3943481,544.0200195,176.969696,544.0200195,202.2835388,544.0200195,211.8308258,544.0200195,214.482666,544.0200195,238.3976135,544.0200195,231.7271271,544.0200195,265.2332458,544.0200195,281.0444641,544.0200195,312.9025269,544.0200195,346.143219,544.0200195,346.8212891,544.0200195,310.0489807,544.0200195,267.3908997,544.0200195,282.661377,544.0200195,301.6468506,544.0200195,328.1381226,544.0200195,361.1956787,544.0200195,386.3994446
545.0700073,7.226894855,545.0700073,363.110199,545.0700073,328.7395325,545.0700073,180.5697937,545.0700073,189.0006866,545.0700073,212.203064,545.0700073,221.139801,545.0700073,227.583252,545.0700073,233.5679474,545.0700073,262.2992859,545.0700073,285.4886475,545.0700073,297.9384766,545.0700073,333.3632813,545.0700073,331.0090332,545.0700073,305.9146118,545.0700073,256.3648376,545.0700073,269.7143555,545.0700073,294.8701172,545.0700073,323.4455872,545.0700073,357.6114807,545.0700073,374.184906
545.9699707,7.258725643,545.9699707,359.0345459,545.9699707,322.9023132,545.9699707,175.7895966,545.9699707,195.0625458,545.9699707,204.3257294,545.9699707,209.7807922,545.9699707,216.7753296,545.9699707,235.6316681,545.9699707,259.6737061,545.9699707,287.6754456,545.9699707,292.6023254,545.9699707,332.2510681,545.9699707,331.5823669,545.9699707,298.6951599,545.9699707,251.8962555,545.9699707,270.4585266,545.9699707,290.3152161,545.9699707,322.84375,545.9699707,354.6639709,545.9699707,362.8003845
547.0100098,7.028909206,547.0100098,353.9595947,547.0100098,319.9764404,547.0100098,171.9297485,547.0100098,184.4978333,547.0100098,208.6053619,547.0100098,205.1697388,547.0100098,223.991684,547.0100098,227.410202,547.0100098,256.881073,547.0100098,257.6077881,547.0100098,293.4697876,547.0100098,322.3534241,547.0100098,320.8510437,547.0100098,283.6191101,547.0100098,249.0086517,547.0100098,256.5183411,547.0100098,285.2344055,547.0100098,308.5562439,547.0100098,346.3587036,547.0100098,358.1842957
548.0499878,7.191670418,548.0499878,345.7423401,548.0499878,313.228241,548.0499878,167.8486786,548.0499878,191.9347382,548.0499878,212.5120544,548.0499878,204.8198853,548.0499878,217.2328186,548.0499878,233.8505249,548.0499878,244.0854645,548.0499878,272.401825,548.0499878,284.8092346,548.0499878,314.8644409,548.0499878,318.7810364,548.0499878,279.7544556,548.0499878,254.8567657,548.0499878,259.4311829,548.0499878,276.7904968,548.0499878,310.5492554,548.0499878,338.9078064,548.0499878,353.2449646
548.9500122,6.738262653,548.9500122,342.2376099,548.9500122,309.4303894,548.9500122,164.5190582,548.9500122,188.2361603,548.9500122,209.8465881,548.9500122,201.9328918,548.9500122,208.1597137,548.9500122,215.555954,548.9500122,258.3444214,548.9500122,262.8494263,548.9500122,285.0198364,548.9500122,300.4046936,548.9500122,310.6916199,548.9500122,273.1358948,548.9500122,239.4454193,548.9500122,247.3058777,548.9500122,277.4865112,548.9500122,306.0868835,548.9500122,334.3063965,548.9500122,347.4329834
550,6.818249226,550,337.0921936,550,300.7122803,550,162.7987976,550,186.7685394,550,202.7035217,550,212.6111298,550,206.8118896,550,216.741745,550,237.2104492,550,267.0828247,550,273.3370056,550,303.7748718,550,299.9544678,550,267.0550537,550,238.6979828,550,248.9239044,550,271.8025513,550,303.9434814,550,328.644165,550,338.8431702
551.0200195,6.610753059,551.0200195,327.5065613,551.0200195,295.7068481,551.0200195,161.8708649,551.0200195,184.7365112,551.0200195,199.5618439,551.0200195,199.6401978,551.0200195,200.699295,551.0200195,206.9756775,551.0200195,236.5364227,551.0200195,245.2812805,551.0200195,276.2314758,551.0200195,294.5588074,551.0200195,298.4098206,551.0200195,254.8459167,551.0200195,239.0293121,551.0200195,247.1871033,551.0200195,264.0140686,551.0200195,288.7366333,551.0200195,319.8499451,551.0200195,333.3908997
552.0499878,6.378473282,552.0499878,324.1780701,552.0499878,287.2108765,552.0499878,162.928894,552.0499878,186.7621613,552.0499878,203.9337311,552.0499878,202.1693573,552.0499878,209.4162445,552.0499878,205.618988,552.0499878,228.1559906,552.0499878,243.793869,552.0499878,265.7009583,552.0499878,293.0664063,552.0499878,293.1220703,552.0499878,248.1223602,552.0499878,234.3170776,552.0499878,233.7461853,552.0499878,266.399292,552.0499878,291.6055908,552.0499878,317.5527649,552.0499878,327.1282349
552.9400024,6.273398876,552.9400024,319.4346008,552.9400024,282.6168823,552.9400024,158.6520233,552.9400024,182.6011963,552.9400024,203.6265259,552.9400024,201.0562592,552.9400024,196.1797638,552.9400024,197.1342621,552.9400024,232.8426056,552.9400024,256.5360107,552.9400024,242.4592133,552.9400024,289.4668274,552.9400024,286.1377258,552.9400024,250.1840057,552.9400024,222.6145477,552.9400024,236.7333679,552.9400024,260.9758301,552.9400024,287.1149597,552.9400024,313.2380371,552.9400024,324.5361938
553.9699707,6.319383144,553.9699707,308.7171936,553.9699707,278.3208008,553.9699707,158.5692291,553.9699707,175.6410522,553.9699707,194.6337433,553.9699707,193.7098541,553.9699707,199.0721741,553.9699707,190.4413147,553.9699707,215.4903107,553.9699707,238.5869293,553.9699707,247.4311066,553.9699707,280.9284363,553.9699707,282.894043,553.9699707,240.4360809,553.9699707,220.6802216,553.9699707,231.7831573,553.9699707,250.0365448,553.9699707,281.3587341,553.9699707,308.0853271,553.9699707,314.3225098
555,6.082329273,555,303.1939697,555,270.9836121,555,158.4851532,555,180.6725464,555,204.8353882,555,186.8158264,555,193.8101959,555,197.0267639,555,217.4049072,555,243.4607849,555,246.7470703,555,268.585083,555,280.7846375,555,237.3480377,555,219.1179199,555,224.8820648,555,245.8570862,555,269.3346558,555,302.4814453,555,300.8314514
556.0200195,5.953824043,556.0200195,300.3390808,556.0200195,268.7946472,556.0200195,153.012207,556.0200195,173.2086945,556.0200195,196.394165,556.0200195,187.5327911,556.0200195,191.9081726,556.0200195,188.4486847,556.0200195,203.6781616,556.0200195,236.9188843,556.0200195,237.5466003,556.0200195,270.8687134,556.0200195,268.3249207,556.0200195,236.1647949,556.0200195,216.6532288,556.0200195,214.5050964,556.0200195,237.7055206,556.0200195,267.365448,556.0200195,298.2796326,556.0200195,303.7163696
557.0499878,5.788988113,557.0499878,293.8401184,557.0499878,258.6287537,557.0499878,151.0935669,557.0499878,173.717453,557.0499878,189.3135071,557.0499878,180.1414185,557.0499878,189.6663666,557.0499878,191.9956207,557.0499878,212.2603149,557.0499878,220.4821167,557.0499878,236.4160156,557.0499878,270.8616943,557.0499878,262.0413513,557.0499878,227.9971466,557.0499878,208.0391388,557.0499878,218.8080444,557.0499878,235.1734161,557.0499878,263.6109009,557.0499878,291.6821899,557.0499878,295.4252319
557.9400024,5.654350281,557.9400024,288.4594421,557.9400024,255.1247406,557.9400024,151.7532959,557.9400024,181.4627991,557.9400024,195.8899231,557.9400024,189.2977142,557.9400024,186.7960358,557.9400024,197.4255676,557.9400024,211.2808228,557.9400024,211.6506042,557.9400024,232.5306244,557.9400024,257.0328369,557.9400024,258.5440979,557.9400024,221.1381989,557.9400024,200.5119019,557.9400024,209.660965,557.9400024,233.1392059,557.9400024,260.420929,557.9400024,288.5697937,557.9400024,289.8926697
558.9699707,5.675739765,558.9699707,283.1400757,558.9699707,250.869278,558.9699707,151.7211456,558.9699707,175.9688568,558.9699707,193.1008759,558.9699707,181.2214508,558.9699707,184.1899872,558.9699707,186.3630371,558.9699707,202.9305267,558.9699707,213.8890228,558.9699707,228.2132721,558.9699707,250.8139648,558.9699707,250.4683685,558.9699707,215.9371643,558.9699707,195.2684326,558.9699707,209.0271301,558.9699707,232.412796,558.9699707,257.2492065,558.9699707,274.8082886,558.9699707,285.119812
