J_Peri,,Sample 2,,Sample 3,,Sample 4_EX_290.00,,Sample 4_EX_295.00,,Sample 4_EX_305.00,,Sample 4_EX_315.00,,Sample 4_EX_325.00,,Sample 4_EX_335.00,,Sample 4_EX_345.00,,Sample 4_EX_355.00,,Sample 4_EX_365.00,,Sample 4_EX_375.00,,Sample 4_EX_385.00,,Sample 4_EX_395.00,,Sample 4_EX_405.00,,Sample 4_EX_415.00,,Sample 4_EX_425.00,,Sample 4_EX_435.00,,Sample 4_EX_445.00,,Sample 4_EX_455.00,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.)
476.0599976,6.966010094,476.0599976,346.8946533,476.0599976,479.1678467,476.0599976,392.8372192,476.0599976,473.7942505,476.0599976,513.3748779,476.0599976,510.0219727,476.0599976,546.413147,476.0599976,576.8723145,476.0599976,570.1016846,476.0599976,550.7926025,476.0599976,510.1704712,476.0599976,524.0588379,476.0599976,480.0278015,476.0599976,445.385498,476.0599976,385.1555786,476.0599976,347.8678284,476.0599976,294.3503418,476.0599976,295.2050171,476.0599976,320.7999878,476.0599976,462.37677
476.9599915,6.778024673,476.9599915,339.4859009,476.9599915,481.0374451,476.9599915,403.19104,476.9599915,460.3703308,476.9599915,501.9516907,476.9599915,502.330658,476.9599915,566.5765381,476.9599915,581.409668,476.9599915,565.3521729,476.9599915,528.2057495,476.9599915,512.7093506,476.9599915,518.9089355,476.9599915,477.7646484,476.9599915,441.7698669,476.9599915,380.0734558,476.9599915,340.0058289,476.9599915,296.039856,476.9599915,305.7808228,476.9599915,323.0331421,476.9599915,443.2276001
478.0299988,6.484885693,478.0299988,334.1147766,478.0299988,471.4378357,478.0299988,392.5452576,478.0299988,462.9363403,478.0299988,496.9176636,478.0299988,487.2508545,478.0299988,554.9420776,478.0299988,559.7527466,478.0299988,557.3935547,478.0299988,539.2765503,478.0299988,509.4876404,478.0299988,512.8464355,478.0299988,472.2771606,478.0299988,440.1716003,478.0299988,382.7075806,478.0299988,339.7822876,478.0299988,300.1213379,478.0299988,299.8507996,478.0299988,313.7058411,478.0299988,424.053894
478.9299927,6.498572826,478.9299927,334.657135,478.9299927,472.4500122,478.9299927,377.5001526,478.9299927,453.0730591,478.9299927,484.1879883,478.9299927,472.2147217,478.9299927,560.2982788,478.9299927,565.902832,478.9299927,540.0771484,478.9299927,529.2195435,478.9299927,506.4249573,478.9299927,531.8221436,478.9299927,466.7573242,478.9299927,447.4551086,478.9299927,375.4088745,478.9299927,341.8786316,478.9299927,298.3647156,478.9299927,299.1171875,478.9299927,313.0957336,478.9299927,409.1676025
480,6.705435276,480,331.1349792,480,471.7806091,480,374.2593079,480,431.9833374,480,471.7032166,480,463.1047974,480,572.7507935,480,568.1376343,480,528.4099731,480,524.2954712,480,484.4706726,480,516.1951904,480,466.360321,480,444.0054321,480,386.2671509,480,349.0994568,480,300.6798096,480,306.4812317,480,314.4890442,480,408.8891907
481.0599976,6.817413807,481.0599976,332.7699585,481.0599976,480.5310974,481.0599976,357.0950012,481.0599976,436.3130188,481.0599976,463.2576294,481.0599976,454.800415,481.0599976,551.4697266,481.0599976,546.1878052,481.0599976,530.9672852,481.0599976,519.3579102,481.0599976,486.2691345,481.0599976,523.4069214,481.0599976,479.4504395,481.0599976,433.3936768,481.0599976,381.6322021,481.0599976,356.0784607,481.0599976,307.6141357,481.0599976,306.7583313,481.0599976,319.1977539,481.0599976,405.6306458
481.9599915,6.838419914,481.9599915,333.5588379,481.9599915,478.057373,481.9599915,344.2181396,481.9599915,426.1793823,481.9599915,458.6716309,481.9599915,445.0759277,481.9599915,557.0328369,481.9599915,554.4953613,481.9599915,538.1749878,481.9599915,508.5415344,481.9599915,510.3846741,481.9599915,518.2293091,481.9599915,477.7950745,481.9599915,445.6957703,481.9599915,384.3365784,481.9599915,356.3858032,481.9599915,310.2423096,481.9599915,313.0636902,481.9599915,318.6593933,481.9599915,404.2833557
483.0299988,7.086157799,483.0299988,335.3277893,483.0299988,487.5453186,483.0299988,341.4390259,483.0299988,413.8766174,483.0299988,453.9931335,483.0299988,441.9438477,483.0299988,551.6589355,483.0299988,543.8297119,483.0299988,516.8372192,483.0299988,500.0236511,483.0299988,480.1008911,483.0299988,533.052063,483.0299988,484.2339478,483.0299988,452.6231079,483.0299988,388.2621765,483.0299988,363.6236572,483.0299988,317.120697,483.0299988,313.0714111,483.0299988,327.1585388,483.0299988,399.083313
483.9299927,7.107130527,483.9299927,345.3783875,483.9299927,487.5813293,483.9299927,332.6165161,483.9299927,401.2131653,483.9299927,442.0517883,483.9299927,436.029541,483.9299927,531.0357666,483.9299927,536.0114746,483.9299927,524.1872559,483.9299927,504.902832,483.9299927,484.345459,483.9299927,522.2338867,483.9299927,493.1791992,483.9299927,451.3384705,483.9299927,382.8084717,483.9299927,372.6880493,483.9299927,326.414978,483.9299927,321.5240173,483.9299927,330.9536133,483.9299927,399.1444092
485,7.164708614,485,347.9741211,485,482.4151001,485,333.7341614,485,390.5482788,485,433.5830994,485,435.9771729,485,516.2096558,485,523.0772705,485,516.9388428,485,497.2221985,485,474.9328003,485,517.2787476,485,479.0995483,485,447.3056335,485,388.8107605,485,369.8447876,485,321.9042358,485,336.2242737,485,335.0859985,485,407.4996033
486.0599976,7.352722168,486.0599976,351.0973816,486.0599976,487.3728333,486.0599976,344.2841492,486.0599976,392.4298706,486.0599976,435.6835938,486.0599976,416.5945435,486.0599976,489.3079529,486.0599976,540.0164185,486.0599976,495.8879089,486.0599976,497.3465271,486.0599976,475.1742859,486.0599976,514.1710205,486.0599976,484.4250183,486.0599976,448.0801697,486.0599976,393.0290222,486.0599976,373.7762756,486.0599976,328.2961426,486.0599976,334.5959167,486.0599976,342.5076294,486.0599976,406.0500488
486.9599915,7.417311192,486.9599915,355.2106018,486.9599915,492.4543152,486.9599915,315.861084,486.9599915,390.5254211,486.9599915,437.9903564,486.9599915,427.0938416,486.9599915,482.2372742,486.9599915,546.0311279,486.9599915,507.9835205,486.9599915,473.3652344,486.9599915,484.1917419,486.9599915,522.5545654,486.9599915,486.1443481,486.9599915,450.4421692,486.9599915,387.9641418,486.9599915,372.8893738,486.9599915,335.2017822,486.9599915,340.2831116,486.9599915,347.6743469,486.9599915,404.6978455
488.0299988,7.438621521,488.0299988,360.8879089,488.0299988,494.6599731,488.0299988,314.9733887,488.0299988,384.8252563,488.0299988,418.8282166,488.0299988,424.822998,488.0299988,456.3211975,488.0299988,554.0471802,488.0299988,494.3959961,488.0299988,473.9776611,488.0299988,477.1051025,488.0299988,525.1421509,488.0299988,486.1040649,488.0299988,450.7442017,488.0299988,399.8656616,488.0299988,381.8557434,488.0299988,341.2718811,488.0299988,343.6714172,488.0299988,352.2400208,488.0299988,412.3861389
488.9299927,7.62601614,488.9299927,365.039917,488.9299927,490.8655701,488.9299927,311.7792664,488.9299927,381.7776794,488.9299927,417.6849365,488.9299927,411.3385315,488.9299927,463.8764343,488.9299927,570.1854248,488.9299927,512.9541016,488.9299927,480.8709412,488.9299927,476.9697876,488.9299927,527.8959961,488.9299927,490.647644,488.9299927,458.9056091,488.9299927,393.4081116,488.9299927,375.102478,488.9299927,347.0136108,488.9299927,350.2939453,488.9299927,355.3924255,488.9299927,412.4153137
490,7.502606392,490,364.0214233,490,486.979187,490,314.0005493,490,377.8348083,490,418.1910706,490,410.0910034,490,449.2118225,490,607.9180908,490,485.5432739,490,485.2856445,490,472.2914124,490,519.7347412,490,490.6750793,490,455.7133179,490,393.8599548,490,385.2017822,490,349.8209534,490,357.2015991,490,362.7650452,490,408.1213074
491.0599976,7.469520569,491.0599976,372.0170898,491.0599976,485.9945068,491.0599976,298.4492188,491.0599976,379.9920654,491.0599976,417.2995911,491.0599976,398.1627808,491.0599976,441.4761658,491.0599976,662.7993774,491.0599976,491.0853882,491.0599976,473.4076233,491.0599976,477.1578064,491.0599976,510.8655701,491.0599976,491.6641541,491.0599976,467.6336975,491.0599976,388.0453491,491.0599976,388.2442932,491.0599976,354.4534607,491.0599976,360.6218872,491.0599976,362.9493408,491.0599976,407.3672791
491.9599915,7.634538651,491.9599915,373.9298706,491.9599915,483.703186,491.9599915,305.1860046,491.9599915,365.9718323,491.9599915,412.6865845,491.9599915,403.8768616,491.9599915,438.6187439,491.9599915,668.7408447,491.9599915,479.4530945,491.9599915,487.4055786,491.9599915,478.4091187,491.9599915,528.1738892,491.9599915,479.6466675,491.9599915,455.6711121,491.9599915,392.1882019,491.9599915,381.4072571,491.9599915,361.3018799,491.9599915,363.7090759,491.9599915,370.4068604,491.9599915,408.8262024
493.0299988,7.776220322,493.0299988,376.6399536,493.0299988,489.4959412,493.0299988,298.8079834,493.0299988,354.7877197,493.0299988,396.0621338,493.0299988,400.7796021,493.0299988,422.0393372,493.0299988,681.734314,493.0299988,479.8521729,493.0299988,478.5509033,493.0299988,487.3459473,493.0299988,516.3641357,493.0299988,489.2696228,493.0299988,453.2768555,493.0299988,393.0185852,493.0299988,384.787323,493.0299988,367.6503601,493.0299988,372.0172119,493.0299988,371.8470154,493.0299988,404.8781433
